Name,Einheit (g / Stück),Kalorien,Fett,Kohlenhydrate,Eiweiß,Marke
Reispfanne mit Hähnchenbrust,1 Portion ,300.0,7.0,35.0,7.0,Eurest
Blumenkohlcremesuppe,1 Schale,105.0,8.0,6.0,3.0,Eurest
Petersilienkartoffeln,1 Portion,105.0,0.0,22.5,2.8,Eurest
Gebratene Hähnchenbrust auf Geschwenktem Chinakohl,1 Portion,357.0,22.0,4.0,35.0,Eurest
"Brokkolicreme mit Gebratenem Gemüse, Tofu und Sesam",1 Portion,345.0,22.7,16.2,20.3,Eurest
Pommes Frites,1 Schale,494.0,30.0,50.0,5.9,Eurest
Schokoladenpudding,1 Schale,180.0,7.0,26.0,5.0,Eurest
Captain Chrup,100.0,379.0,1.2,83.0,8.7,Eurosnack
Maisstangen,100.0,377.0,1.0,82.0,9.2,Eurosnack
Chrupcie,100.0,343.0,0.9,76.0,7.6,Eurosnack
Smart Protein,1 Portion ,0.0,0.0,0.0,7.0,Everydays
Garden Gnocchi,Garden Gnocchi  ,469.0,10.4,72.9,16.2,Everydays
Wasser,100.0,0.0,0.0,0.0,0.0,Evian
Evobar Milky Crisp,1 Portion ,188.0,5.3,16.0,23.0,Evo Sports Fuel
Whey Protein Matrix Vanille Eis,100.0,379.0,4.2,6.1,79.3,Evo Sports Fuel
Evonade Lemon & Lime,100.0,346.0,0.5,2.4,79.6,Evo Sports Fuel
Whey Protein Matrix Butterkeks,100.0,380.0,4.2,5.6,79.5,Evo Sports Fuel
Evobar Vegan,1 Riegel ,215.0,11.0,16.0,16.0,Evo Sports Fuel
Whey Schoko,100.0,379.0,4.2,5.2,80.0,Evo Sports Fuel
Whey Protein Matrix Cinnamon-Milk ,100.0,378.0,4.2,7.2,76.0,Evo Sports Fuel
Vegan Protein Matrix - Schoko Geschmack,100.0,409.0,7.2,2.9,81.2,Evo Sports Fuel
Vegan Protein Matrix,100.0,417.0,6.5,5.9,81.9,Evo Sports Fuel
Vegan Protein Matrix Vanille-Butterkeks,100.0,417.0,6.5,5.9,81.9,Evo Sports Fuel
Evonade Sour Peach,100.0,346.0,0.5,2.1,79.6,Evo Sports Fuel
Craft,100.0,258.0,0.3,10.0,40.0,Evo Sports Fuel
Whey Protein Matrix Bananen-Milchshake,100.0,379.0,4.2,5.2,80.0,Evo Sports Fuel
Vegan Protein Matrix - Hazelnut-Nougat,100.0,389.0,6.8,3.4,75.0,Evo Sports Fuel
Whey Protein Matrix Schoko-Peanut,100.0,376.0,4.6,5.7,75.0,Evo Sports Fuel
