Name,Einheit (g / Stück),Kalorien,Fett,Kohlenhydrate,Eiweiß,Marke
Karottensaft,100.0,30.0,0.1,6.2,0.6,A & P
Schokoladen Butterkeks ,100.0,511.0,26.0,61.0,7.0,A & P
Speisequark Magerstufe ,100.0,69.0,0.5,4.0,12.0,A & P
Kartoffelknödel,100.0,357.0,2.6,77.8,3.8,A & P
Schokomüsli,100.0,381.0,7.3,64.0,10.8,A & P
Fettarmer Joghurt Mild Erdbeer-Rhabarber,100.0,93.0,1.5,15.4,3.9,A & P
Mozzarella Leicht,100.0,178.0,10.0,1.5,20.5,A & P
Smooth Peanut Butter with a Pinch of Sea Salt,100.0,590.0,45.5,11.5,29.3,A & P
Beanz in A Rich Tomato Sauce ohne Zuckerzusatz,100.0,66.0,0.2,9.5,4.6,A & P
A Tiny Little Something Just For You ,100.0,559.0,35.0,54.0,6.2,A & P
Quark Genuss mit Joghurt A La Apfelkuchen,1 Becher ,152.0,5.0,21.0,5.8,A & P
Joghurt mit der Ecke a la Wien ,100.0,123.0,4.4,16.1,3.8,A & P
I am a Tasty 50% Protein Bar,100.0,368.0,11.0,26.0,50.0,A & P
Choco Crossies Crunchy Moments A La Tiramisu,100.0,529.0,29.4,58.6,6.7,A & P
Apollo Creed L. A. Burger Style,100.0,532.0,33.0,51.0,5.5,A & P
Rote Linsen & Karotten a la Reis,100.0,340.0,1.5,56.0,22.0,A & P
Peanut Butter Baklava A La Makina,100.0,581.0,47.6,19.2,16.0,A & P
What-A-Lotta Chocolate Cookie Core,100.0,300.0,18.0,30.0,4.3,A & P
A La Mousse Au Chocolat Blanc,100.0,441.0,16.6,66.2,5.8,A & P
Riesen Garnelen Gewürzt A La Provencal,100.0,59.0,1.2,1.1,11.0,A & P
Gemüse Pfanne Bio A La Ratatouille,100.0,48.0,1.9,5.4,1.3,A & P
A la Tomate Basilikum (20g),1 Scheibe ,70.0,5.6,0.2,4.6,A & P
Mini-Eclairs a La Vanille,1 Stück ,54.0,3.7,3.9,0.9,A & P
Milch Reis A La Kompott,100.0,111.0,2.0,20.2,2.8,A & P
Samt Birne A La Vanillekipferl ,100.0,213.0,0.2,51.2,0.3,A & P
Kichererbsen & Mais A La Reis,100.0,354.0,4.6,54.0,19.0,A & P
Erbsen & Zucchini A La Reis,100.0,340.0,1.7,55.0,22.0,A & P
Creme A La Cuisine Vegan,100.0,172.0,16.0,7.4,0.5,A & P
Winter Edition A La Vanillekipferl,100.0,542.0,32.0,57.0,6.0,A & P
Sir Choc-A-Lot (Schokoladenkuchen),1 Portion,610.0,31.0,72.0,6.5,A & P
Chocolate Cake in A Cup,1 Portion ,161.0,1.7,30.0,5.2,A & P
A la Tomate Basilikum (20g),1 Teller ,53.0,0.8,9.6,1.6,A & P
Schlemmer-Filet A La Bordelaise,100.0,130.0,6.5,4.3,13.3,A & P
Ofen Baguette a la Flammkuchen ,100.0,296.0,12.0,38.0,7.5,A & P
Samt Kirsche A La Karamell,100.0,220.0,0.2,52.7,0.5,A & P
Schlemmer Filet A La Italia ,100.0,79.0,2.4,4.2,10.0,A & P
Samt Kirsche A La Zimtstern,100.0,203.0,0.2,48.6,0.5,A & P
A+B+C+E Vitamingetränk ,100.0,37.0,0.0,9.0,0.0,A & P
A la Tomate Basilikum (21.8g),1 Scheibe ,78.0,6.3,0.2,5.0,A & P
A la Tomate Basilikum (21.8g),100.0,26.0,0.5,4.9,0.9,A & P
Tortilla con Sabor A Bacon,100.0,166.0,9.5,13.7,5.6,A & P
A Taste of Delicious Coconut,1 Stück ,118.0,6.2,14.0,1.4,A & P
Gnocchi a la Caprese,100.0,171.0,9.0,16.0,6.0,A & P
Sauce a la Bernaise ,100.0,176.0,17.7,3.6,0.5,A & P
Bio Ahornsirup Grad A,100.0,359.0,0.0,89.0,0.5,A & P
Trüffel a la Vanille ,100.0,593.0,42.0,48.0,6.3,A & P
Sir Gainz A Lot,100.0,388.0,1.8,49.0,42.0,A & P
Pasta a La Bolognese ,1 Portion ,267.0,6.6,35.7,13.2,A & P
Chocolatey Love A-Fair,100.0,271.0,16.0,27.0,4.1,A & P
Schnitzel A La Carbonara,100.0,171.0,9.0,13.0,9.0,A & P
Wildlachs A La Florentin,100.0,115.0,5.0,10.0,7.0,A & P
Schlemmerfilet A La Italia,100.0,79.0,2.4,4.2,10.0,A & P
Baguette A La Provence,100.0,280.0,12.0,31.0,11.0,A & P
Calamares A La Romana,100.0,214.0,5.4,35.0,6.4,A & P
Schlemmerfilet A La Italiano,100.0,73.0,2.2,3.2,9.9,A & P
Garnelen A La Provence,100.0,117.0,5.6,0.7,16.0,A & P
Pasta A La Carbonara,1 Portion ,325.0,4.2,58.9,11.6,A & P
Trüffel A La Tiramisu,1 Stück ,97.0,5.3,10.6,1.0,A & P
A+C+E Vitamingetränk,1 Glas ,110.0,0.3,25.8,0.5,A & P
Schlemmerfilet A La Italia ,100.0,98.0,5.8,1.0,10.1,A & P
Calamar a La Gallega,100.0,266.0,22.6,1.6,14.0,A & P
