Name,Einheit (g / Stück),Kalorien,Fett,Kohlenhydrate,Eiweiß,Marke
Reis,100.0,347.0,0.5,78.0,6.7,Tosya
Eistee Pfirsich,100.0,33.0,0.1,8.3,0.04,Tradewinds
Chips Naturel,100.0,537.0,37.0,46.0,5.0,Trafo
Sea Salted Popped Corn,100.0,509.0,27.0,56.0,8.5,Trafo
Tortilla Chips,100.0,480.0,21.5,62.8,6.7,Trafo
Potato Chips & Paprika,100.0,515.0,37.0,46.0,6.3,Trafo
Corn Peanuts,100.0,485.0,26.7,44.3,13.7,Trafo
Paprika Hummus Chips,100.0,399.0,14.0,57.0,9.2,Trafo
Hummus Chips,100.0,461.0,25.0,51.0,6.0,Trafo
Hand Popped Corn Coconut & Cocoa,1 Portion ,142.0,7.5,16.0,2.1,Trafo
Hand Popped Corn Maple & Cinnamon,100.0,567.0,28.7,67.9,8.6,Trafo
Vegetable Chips,100.0,380.0,24.0,34.1,5.6,Trafo
Hand Popped Corn Simply Salted,100.0,582.0,32.7,61.4,9.7,Trafo
Chili Sauce Süß,100.0,275.0,0.3,67.0,0.4,Transgourmet
Räucherlachs,100.0,200.0,13.0,0.5,20.0,Transgourmet
Speisequarkzubereitung mit 20% Joghurt,100.0,59.0,0.1,4.1,10.3,Transgourmet
Multivitaminfruchtsaftgetränk ,100.0,48.0,0.0,11.6,0.0,Transgourmet
Brie,100.0,309.0,25.0,2.0,19.0,Transgourmet
Wok-Gemüse Jakarta,100.0,81.0,2.0,8.3,5.6,Transgourmet
Gemüse Chips,100.0,380.0,24.0,34.1,5.6,Trato
Weizen Alkoholfrei,100.0,26.0,0.0,6.6,0.38,Traugott Simon
"0,0%",100.0,17.0,0.0,3.1,0.5,Traugott Simon
Malz,100.0,43.0,0.1,12.3,0.33,Traugott Simon
Fassbrause Zitrone,100.0,37.0,0.1,8.6,0.2,Traugott Simon
Wildlachsfilet,100.0,96.0,1.1,0.0,21.5,Trawler's Catch
Wildlachsfilet,1 Filet ,151.0,4.8,0.0,27.3,Trawler's Catch
Thunfisch Stücke,100.0,101.0,0.8,0.5,23.0,Trawler's Catch
Alaska Seelachsfilet,100.0,73.0,0.6,0.0,17.0,Trawler's Catch
Whey 100,100.0,334.0,2.45,5.7,72.2,Trec Nutrition 
Solid Mass,100.0,380.0,0.44,80.24,13.78,Trec Nutrition 
Sports Nutrition Liquid Gel,1 Portion ,113.0,0.0,28.1,0.0,Trec Nutrition 
Sports Nutrition,2 gestr. Dosierlöffel ,150.0,0.0,34.7,0.0,Trec Nutrition 
The Peanut Company,100.0,504.0,26.0,56.0,9.5,Treets
Creamy Peanut Butter,100.0,611.0,49.0,11.0,27.0,Treets
Treetsbar,100.0,507.0,28.0,55.0,8.0,Treets
Choco Peanut Müsli,100.0,461.0,17.9,56.4,15.6,Treets
Choco,100.0,466.0,16.0,75.0,4.1,Treets
Peanut Butter Cups,100.0,571.0,39.0,43.0,10.0,Treets
Peanut Butter Buttons,100.0,495.0,23.0,62.0,8.1,Treets
Crispy,100.0,465.0,17.0,71.0,5.6,Treets
Peanut Butter Cups Minis,100.0,579.0,40.2,41.2,11.0,Treets
Caramel Choco & Sea Salt,100.0,523.0,30.0,51.0,11.0,Treets
Choco Peanut Butter,100.0,576.0,41.0,32.0,16.0,Treets
Peanut Butter Caramel Bites,100.0,539.0,34.0,47.0,9.7,Treets
Erdnuss Am Stiel,1 Eis ,226.0,13.0,22.0,4.4,Treets
Frittierter Tofu,100.0,175.0,11.8,2.0,15.1,Treiber Tofu
Tofu Natur,100.0,108.0,6.67,0.45,11.53,Treiber Tofu
Gebackener Tofu,100.0,257.0,18.3,0.5,21.9,Treiber Tofu
Sezuantofu,100.0,287.0,22.6,0.7,20.2,Treiber Tofu
Extraweich Tofu,100.0,62.0,3.5,0.19,5.8,Treiber Tofu
Räuchertofu,100.0,138.0,7.1,2.4,16.3,Treiber Tofu
Gewürztofu,100.0,208.0,12.4,1.6,22.4,Treiber Tofu
Aroma Tofu,100.0,208.0,9.8,1.1,16.4,Treiber Tofu
"Brokkolicreme mit Gebratenem Gemüse, Tofu und Sesam",1 Portion,345.0,22.7,16.2,20.3,Treiber Tofu
Perl-Couscous Salat mit Süßkartoffeln und Tofu,100.0,157.0,7.7,17.0,4.1,Treiber Tofu
Marinierter Tofu auf Wokgemüse und Mie-Nudeln,1 Portion,514.0,14.3,77.18,17.34,Treiber Tofu
Fresh Udon Noodle Cup Shiitake-Tofu,100.0,140.0,0.7,28.0,4.3,Treiber Tofu
"Tortelloni mit Tofu, Spinat und Pinienkernen",100.0,241.0,4.2,39.7,9.8,Treiber Tofu
Tortelloni Spinat mit Tofu und Quinoa,100.0,229.0,6.8,28.7,12.0,Treiber Tofu
Veggie Curry-Reis-Pfanne mit Tofu,100.0,106.0,2.9,16.1,2.7,Treiber Tofu
Vegane Bratwürstchen aus Seiten und Tofu,100.0,254.0,14.0,2.4,28.0,Treiber Tofu
Veganer Bio Burger Tofu und Wakame,100.0,183.0,5.5,11.0,20.0,Treiber Tofu
V1: Glasnudelsalat mit Teriyaki-Tofu,1 Portion,678.0,31.2,71.2,21.8,Treiber Tofu
Vegane Creme Tofu & Getrocknete Tomate,100.0,285.0,25.9,3.0,8.9,Treiber Tofu
Vietnamesischer Nudelsalat mit Knusprigem Tofu,1 Portion,716.0,31.7,77.6,28.0,Treiber Tofu
Tau Kwa Firm Tofu,100.0,108.0,6.0,1.2,12.2,Treiber Tofu
Tofu Geräuchert mit Röstzwiebeln,100.0,131.0,7.4,2.1,14.0,Treiber Tofu
Bio Tofu Tomate-Olive,100.0,141.0,8.6,0.6,14.0,Treiber Tofu
Vegetarische Tofu-Bolognese-Sauce,100.0,168.0,10.1,8.2,9.8,Treiber Tofu
Tofu-Bratlinge Curry-Grünkern,1 Bratling ,195.0,8.0,12.3,16.3,Treiber Tofu
Bio Tofu Mandel-Nuss,100.0,179.0,11.0,0.6,17.0,Treiber Tofu
Tofu Crisper Erbse & Kräuter ,100.0,231.0,15.0,6.8,16.0,Treiber Tofu
Vegane Tofu-Bolognese Sauce,100.0,172.0,10.1,8.2,12.0,Treiber Tofu
Red Love Hanf + Tofu,100.0,203.0,9.4,13.0,14.0,Treiber Tofu
Thailändische Kokossuppe mit Tofu,1 Portion,363.0,26.0,18.0,17.0,Treiber Tofu
My Veggie Tofu Classic,100.0,138.0,8.0,0.7,15.4,Treiber Tofu
Pesto Rosso Con Tofu,100.0,354.0,36.0,3.2,2.1,Treiber Tofu
Bio-Tofu Thai Curry,100.0,282.0,20.0,3.0,21.0,Treiber Tofu
Tofu Classic Veggie Bratlinge,100.0,246.0,16.1,4.8,20.5,Treiber Tofu
Indisches Curry mit Tofu,100.0,109.0,4.9,13.0,2.6,Treiber Tofu
Nigari Tofu Mariniert Geräuchert,100.0,150.0,8.7,2.4,16.8,Treiber Tofu
Veganer Bio Tofu Natur,100.0,157.0,9.0,0.6,17.0,Treiber Tofu
Tofu Miso Soup Powder,100.0,329.0,5.1,57.0,12.0,Treiber Tofu
Vegane Tofu-Quinoa-Bowl,1 Portion,788.0,34.5,78.2,30.1,Treiber Tofu
My Veggie Tofu Geräuchert,100.0,146.0,7.5,1.6,17.5,Treiber Tofu
Algen Räucher-Tofu,100.0,168.0,10.8,1.5,14.9,Treiber Tofu
Curry Tofu Madras,100.0,112.0,8.5,2.2,11.7,Treiber Tofu
Tofu Chunks Masala ,100.0,220.0,15.0,3.5,18.0,Treiber Tofu
