Name,Einheit (g / Stück),Kalorien,Fett,Kohlenhydrate,Eiweiß,Marke
Puten-Gyros,100.0,175.0,11.0,1.0,18.0,Heidemark
Puten-Minifilet,100.0,110.0,2.0,0.0,23.0,Heidemark
Puten-Leber,100.0,118.0,4.0,0.4,20.0,Heidemark
Putengeschnetzeltes Gyros ,100.0,165.0,10.5,1.0,16.5,Heidemark
Geflügelwurst Duo,100.0,199.0,15.0,1.0,15.0,Heidemark
Puten-Steak,100.0,110.0,2.0,0.0,23.0,Heidemark
Puten-Ministeaks,100.0,110.0,2.0,0.0,23.0,Heidemark
Puten-Zwiebelmettwurst,100.0,121.0,5.0,1.0,18.0,Heidemark
"Puten-Schnitzel Mariniert ""BBQ""",100.0,136.0,6.0,1.1,19.0,Heidemark
Puten-Rollbraten,100.0,173.0,11.0,1.0,17.0,Heidemark
Puten-Steaks Paprika,100.0,159.0,7.8,1.0,21.0,Heidemark
Hähnchen-Fleischwurst,100.0,241.0,20.0,1.0,14.0,Heidemark
Puten Brustfilet-Spieße im Speckmantel,1 Spieß ,265.0,18.1,0.6,24.5,Heidemark
Geflügel-Schnitte Wiener Art,100.0,193.0,8.0,13.0,17.0,Heidemark
Puten-Schnitzel Mediterran,100.0,132.0,5.5,0.5,20.0,Heidemark
Puten Grillspieße Pepper,100.0,252.0,20.0,5.1,13.0,Heidemark
Puten Grillies,100.0,148.0,7.0,1.0,20.0,Heidemark
Geflügelbratwurst,100.0,165.0,11.0,0.5,16.0,Heidemark
Edelbitter-Schokolade 85% Kakao,100.0,585.0,50.0,16.0,9.9,Heilemann Confiserie
Schokolade,100.0,564.0,36.0,53.0,6.6,Heilemann Confiserie
Edelbitter Auslese,100.0,512.0,33.0,42.0,7.4,Heilemann Confiserie
Edelbitter-Schokolade,100.0,555.0,39.0,40.0,6.0,Heilemann Confiserie
Ruby Chocolate Pur,100.0,566.0,36.0,53.0,6.2,Heilemann Confiserie
Pralinés ohne Alkohol ,100.0,466.0,31.0,42.0,5.0,Heilemann Confiserie
Espresso Edelbitter-Schokolade,100.0,562.0,41.0,40.0,5.8,Heilemann Confiserie
Cappuccino Trüffel in Edelvollmilch,100.0,516.0,33.0,44.0,7.1,Heilemann Confiserie
Ruby Pearls ,100.0,595.0,44.0,41.0,8.4,Heilemann Confiserie
Erdbeer-Joghurt,100.0,505.0,31.0,46.0,7.2,Heilemann Confiserie
Krosse Kerle Sauerrahm & Lauchzwiebel,100.0,502.0,28.0,53.0,6.3,Heimart
Krosse Kerle Tomate & Paprika,100.0,521.0,28.0,58.0,6.3,Heimart
Krosse Kerle Salz & Pfeffer,100.0,502.0,28.0,53.0,6.1,Heimart
Krosse Kerle Chili & Paprika,100.0,488.0,27.0,52.0,6.2,Heimart
Krosse Kerle Karamell und Salz,100.0,504.0,28.0,58.0,6.0,Heimart
Popcorn Süß & Salzig,100.0,450.0,17.0,62.0,6.6,Heimatgut
Vegan Protein Bar Chocolate Hazelnut ,1 Riegel  ,187.0,9.6,15.0,9.6,Heimatgut
Gemüsechips,100.0,527.0,36.7,36.9,5.7,Heimatgut
Linsenchips,100.0,454.0,17.0,59.0,13.0,Heimatgut
Zimt Popcorn,1 Portion ,135.0,5.1,18.6,2.0,Heimatgut
Süsskartoffelchips,100.0,534.0,38.5,38.6,3.7,Heimatgut
Meersalz Linsen Chips,100.0,454.0,17.0,59.0,13.0,Heimatgut
Cashews,100.0,611.0,47.5,22.5,21.7,Heimatgut
Bio Kichererbsen Chips Tzatziki,100.0,468.0,21.0,57.0,10.0,Heimatgut
Vegan Protein Bar Chocolate Peanut,1 Riegel ,199.0,12.0,14.0,8.4,Heimatgut
