Name,Einheit (g / Stück),Kalorien,Fett,Kohlenhydrate,Eiweiß,Marke
Tiff Toff in The Tuffen,100.0,532.0,31.0,57.0,6.5,Broderick's
Double Choc Brownie,1 Portion ,89.0,5.4,8.9,1.2,Broderick's
Caramental,1 serving ,237.0,12.0,30.0,2.2,Broderick's
Crunchy Slam Dunk Peanut Chunk,100.0,521.0,35.0,42.0,11.0,Broderick's
Salted Caramel Crispy Bar,100.0,450.0,19.0,66.0,4.9,Broderick's
B.C. Peanut ,100.0,395.0,18.0,34.0,21.0,Broderick's
Mühlenschnitten,1 Scheibe ,122.0,0.7,23.4,4.0,Broicher Mühle
Mehrkornschnitte,100.0,228.0,3.8,38.0,7.5,Broicher Mühle
Roggenvollkornbrot,1 Scheibe ,141.0,1.3,25.3,4.2,Broicher Mühle
Mehrkorn Schnitten ,100.0,228.0,3.8,38.0,7.5,Broicher Mühle
Kieler Mischbrot,100.0,202.0,0.85,40.99,6.78,Brotgarten
Hafer Dinkelbrot Bioland ,100.0,247.0,2.29,47.94,7.92,Brotgarten
Essener Bioland,100.0,268.0,6.12,41.9,10.83,Brotgarten
Roggensauer,100.0,150.0,0.85,30.33,4.72,Brotgarten
Möhre Kürbiskernbrot,100.0,247.0,6.18,37.31,10.13,Brotgarten
Dinkelchen,100.0,268.0,2.94,50.0,9.46,Brotgarten
Breze,100.0,273.0,4.5,48.8,7.4,Brothaus
Holzofenbrot,100.0,220.0,0.9,43.9,6.1,Brothaus
Dinkelvollkornbrot,100.0,276.0,7.9,38.2,10.9,Brothaus
Mohnschnecke ,100.0,398.0,22.5,42.5,6.2,Brothaus
Unsere Besten,100.0,258.0,1.4,51.6,7.7,Brothaus
Handgedrehte,100.0,267.0,3.2,50.1,7.7,Brothaus
Roggenbeck,100.0,215.0,0.9,42.4,5.6,Brothaus
Unser Kerniges,100.0,340.0,13.9,39.3,11.5,Brothaus
Körner Gretel,100.0,246.0,6.9,35.3,8.0,Brothaus
Minas Pausenbrot,100.0,220.0,4.2,35.9,7.1,Brothaus
Kerniger Franzose,100.0,202.0,5.8,28.8,6.7,Brothaus
300 das Brot,100.0,230.0,7.2,30.7,8.9,Brothaus
Zimtzicke,100.0,401.0,21.7,46.5,4.4,Brothaus
Braeckers Herzhaft,100.0,430.0,17.6,46.4,15.6,Brothaus
Wilde Mathilde,100.0,250.0,5.4,39.0,10.0,Brothaus
Bio-Dinkelvollkornbrötchen ,100.0,291.0,2.83,51.0,10.97,Brotinsel
Bio-Dinkelbrot,100.0,233.0,1.47,43.33,8.75,Brotinsel
Bio-Kürbiskernbrot,100.0,239.0,5.5,34.68,9.0,Brotinsel
das Milde,1 Scheibe ,135.0,1.5,25.2,4.2,Brotland
Weißbrot ,100.0,247.0,3.0,45.0,8.5,Brotland
Toast Brötchen Weizen,1 Portion ,122.0,0.4,24.0,5.0,Brotland
Kürbiskernbrot,1 Scheibe ,98.0,2.8,13.2,3.6,Brotland
Korn an Korn,100.0,204.0,1.1,39.0,5.3,Brotland
Weizenmischbrot ,100.0,237.0,2.7,43.0,8.0,Brotland
Sonnenblumenkernbrot,1 Scheibe ,147.0,4.7,18.1,4.5,Brotland
Roggen Stügger,100.0,235.0,1.1,44.0,9.4,Brotland
Fladenbrot ,100.0,256.0,1.6,51.0,8.0,Brotland
Toast Brötchen Mehrkorn,100.0,224.0,3.2,38.0,8.5,Brotland
Dinkel Schnitte,1 Scheibe ,138.0,4.1,18.0,5.2,Brotland
Vitalbrot,1 Scheibe ,120.0,2.6,18.7,4.2,Brotland
Weizenvollkornbrot,100.0,240.0,3.2,41.0,8.6,Brotland
Bauern Vesper,100.0,222.0,1.0,45.0,6.5,Brotland
Dinkel Heini,100.0,262.0,3.5,46.0,9.7,Brotland
Pide Fladenbrot,100.0,247.0,1.8,48.0,8.3,Brotland
Das Fitnessbrot,1 Scheibe ,139.0,3.2,20.0,5.0,Brotland
Weltmeister Mehrkorn,100.0,257.0,5.7,39.0,8.9,Brotland
Toast Brötchen Vollkorn,1 Brötchen ,116.0,0.8,21.0,5.0,Brotland
