Name,Einheit (g / Stück),Kalorien,Fett,Kohlenhydrate,Eiweiß,Marke
Mit Feinen Kräutern ,100.0,245.0,23.0,3.0,6.0,Crefée
Grüner Pfeffer,100.0,251.0,23.8,2.9,5.8,Crefée
Paprika & Chili,100.0,231.0,22.0,2.4,6.0,Crefée
Frischkäse,100.0,244.0,23.0,3.0,6.0,Crefée
Meerrettich,100.0,241.0,22.5,3.5,5.5,Crefée
Mit Paprika & Chili,100.0,237.0,22.5,3.0,5.5,Crefée
Bärlauch ,100.0,242.0,23.0,2.7,6.0,Crefée
Französische Kräuter ,100.0,241.0,23.0,2.5,6.0,Crefée
Frischer Knoblauch ,100.0,241.0,23.0,2.5,6.0,Crefée
Mit Walnüssen,100.0,246.0,23.0,3.5,6.0,Crefée
Dunkle Creme,100.0,574.0,39.4,48.6,3.8,Cremino
Weiße Creme,1 Portion ,144.0,9.2,14.2,1.1,Cremino
Praliné Creme,100.0,578.0,38.2,52.7,5.2,Cremino
Harzer Minis,100.0,125.0,0.5,0.1,30.0,Cremisee
Körniger Frischkäse Light ,100.0,71.0,0.4,1.6,15.2,Cremisee
Körniger Frischkäse,100.0,91.0,4.0,1.0,12.7,Cremisee
Frischkäse Chili Paprika,100.0,232.0,22.0,2.4,5.8,Cremisee
Frischkäse Balance,100.0,104.0,4.0,4.7,12.0,Cremisee
Harzer Käse,100.0,125.0,0.5,0.1,30.0,Cremisee
Körniger Frischkäse Nimms Leicht,100.0,72.0,0.4,5.0,12.0,Cremisee
Camembert Leicht,100.0,211.0,13.0,0.5,23.0,Cremisee
Frischkäse,100.0,252.0,24.5,3.0,4.5,Cremisee
Frischkäse Kräuter,1 Portion ,70.0,6.6,0.8,1.8,Cremisee
Bauernhandkäse,100.0,125.0,0.5,0.1,30.0,Cremisee
Frischkäserolle Pfeffer ,100.0,334.0,31.2,3.4,9.8,Cremisee
Der Leichte ,100.0,230.0,16.0,0.1,21.5,Cremisee
Hirtenkäse,100.0,256.0,20.0,1.0,18.0,Cremisee
Frischkäse Sahnig,100.0,243.0,23.0,2.9,6.0,Cremisee
Frischkäse Zubereitung,100.0,92.0,4.0,3.8,9.5,Cremisee
Minirolle Schnittlauch,100.0,335.0,31.8,2.5,9.0,Cremisee
Walnuss,100.0,247.0,23.0,3.5,6.0,Cremisee
Weichkäse mit Rotkultur,100.0,388.0,36.5,0.3,14.5,Cremisee
Kräuter der Provence,100.0,245.0,23.0,3.0,6.0,Cremisee
Kräuter Frischkäse,100.0,208.0,16.0,4.1,11.1,Cremisee
Weichkäse Rolle Kräuter  ,100.0,393.0,37.0,0.3,14.8,Cremisee
Camembert Aufstrich ,100.0,323.0,29.0,1.4,13.0,Cremisee
Frischkäsezubereitung Olive,100.0,242.0,23.0,2.5,6.0,Cremisee
Frischkäse Zubereitung Meerrettich,100.0,240.0,22.5,3.5,5.5,Cremisee
Frischkäse Knoblauch ,100.0,244.0,22.5,4.0,6.0,Cremisee
Frischkäse Kräuter,100.0,236.0,22.0,3.3,6.0,Cremisee
Weichkäse Natur,100.0,388.0,36.5,0.3,14.5,Cremisee
Mozzarella Sticks,100.0,309.0,18.0,21.0,15.0,Cremisee
Minirolle Schnittlauch Paprika ,100.0,198.0,13.9,3.8,13.3,Cremisee
Exotischer Obstsalat,100.0,47.0,0.5,10.0,0.6,Crop's
Wok-Gemüse China,100.0,55.0,0.2,10.0,2.1,Crop's
Rosenkohl,100.0,39.0,0.3,3.5,3.2,Crop's
Kaisergemüse,100.0,28.0,0.0,3.7,1.8,Crop's
China Gemüse,100.0,57.0,1.4,7.7,2.3,Crop's
Erbsen,100.0,66.0,0.0,10.0,4.0,Crop's
Fruit Mix Sangria,100.0,51.0,0.5,11.0,0.6,Crop's
Romanescomischung,100.0,31.0,0.0,4.5,2.1,Crop's
Nasi Goreng ,100.0,117.0,3.0,16.0,5.5,Crop's
