Name,Einheit (g / Stück),Kalorien,Fett,Kohlenhydrate,Eiweiß,Marke
Feines Geflügel Würzfleisch,1 Portion ,142.0,5.8,5.8,16.0,Lero Food
Riesen Eierpfannkuchen,100.0,170.0,5.5,25.6,4.6,Lero Food
Ungarischer Gulasch mit Spätzle ,1 Portion  ,338.0,5.6,41.4,27.9,Lero Food
Erbseneintopf,100.0,84.0,3.27,5.83,5.61,Lero Food
Kartoffel-Suppe ,100.0,63.0,3.0,5.2,2.8,Lero Food
Hühnersuppe,100.0,47.0,0.8,5.1,4.5,Lero Food
Würzfleisch,100.0,115.0,6.2,3.2,10.5,Lero Food
Festtagssuppe mit Klößchen & Eierstich,1 Portion ,204.0,11.6,14.0,8.0,Lero Food
Peking Suppe,1 Portion ,77.0,0.9,9.2,7.2,Lero Food
Bauernfrühstück ,100.0,134.0,6.0,10.5,8.2,Lero Food
This Is Food Classic Choco,100.0,100.0,4.5,7.2,6.7,Lero Food
Fit Food Snacking Sunny Mix ,100.0,503.0,32.3,37.6,12.4,Lero Food
Fit Food Snacking Sport Mix,100.0,621.0,50.9,13.6,23.1,Lero Food
Street Food Cookie Dark Caramel ,1 Portion ,120.0,6.1,13.0,2.1,Lero Food
This Is Food Cherry Banana,1 Portion ,500.0,23.0,35.0,35.0,Lero Food
Fit Food Snacking Power Mix,100.0,506.0,32.1,38.9,11.9,Lero Food
This Is Food Happy Banana,100.0,100.0,4.6,6.9,6.8,Lero Food
Super Food Protein Chocolate ,100.0,390.0,6.4,8.0,75.0,Lero Food
Fit Food Protein Mix,100.0,560.0,41.0,9.1,32.0,Lero Food
Fit Food Protein Mix,1 Portion ,221.0,16.0,3.5,12.9,Lero Food
Street Food Jalapeño Salsa,100.0,89.0,0.5,18.0,1.8,Lero Food
Food in A Bottle,100.0,100.0,4.5,7.0,7.0,Lero Food
Fit Food Super Mix,100.0,531.0,36.7,23.3,20.7,Lero Food
Fit Food Vital Mix,100.0,461.0,23.3,47.7,12.0,Lero Food
Super Food Riegel ,100.0,336.0,10.0,44.0,9.0,Lero Food
Super Food Topping,100.0,370.0,11.0,45.5,14.2,Lero Food
Functional Food Strawberry,100.0,89.0,4.6,4.0,7.2,Lero Food
Falafel Street Food ,100.0,70.0,3.2,6.1,2.8,Lero Food
Super Food Brot ,100.0,237.0,9.8,9.4,23.0,Lero Food
This Is Food,1 Flasche ,500.0,23.0,35.0,34.0,Lero Food
Street Food Asia,100.0,69.0,1.9,10.5,1.6,Lero Food
Street Food India,100.0,95.0,5.0,9.3,2.1,Lero Food
Super Food Mix,100.0,479.0,28.0,38.0,15.0,Lero Food
Classic Food Colours ,100.0,233.0,0.0,58.0,0.0,Lero Food
Street Food Zaziki,100.0,327.0,31.0,8.3,1.6,Lero Food
