Name,Einheit (g / Stück),Kalorien,Fett,Kohlenhydrate,Eiweiß,Marke
Eiklar,100.0,45.0,0.0,1.0,10.2,Novox
Protein Boost,100.0,119.0,0.1,0.0,20.0,Novox
Protein Boost Cherry,100.0,81.0,0.1,0.0,20.0,Novox
Sunflower Lecithin,1 TL ,25.0,2.5,0.0,0.0,Now
Grapefruit,100.0,33.0,0.5,8.2,0.5,Now
Fresh Lemon,100.0,35.0,0.5,8.6,0.5,Now
Light Cassis Lime Bio-Limo,100.0,19.0,0.5,4.4,0.5,Now
Black Cola,100.0,35.0,0.5,8.8,0.5,Now
Light Black Cola,100.0,22.0,0.5,5.2,0.5,Now
Orange Cola ,100.0,38.0,0.5,9.6,0.5,Now
Sunny Orange,100.0,34.0,0.1,8.5,0.1,Now
Red Berry,100.0,32.0,0.5,8.1,0.5,Now
Pink Rhabarber ,100.0,28.0,0.5,6.3,0.6,Now
Birne Hopfen ,100.0,28.0,0.5,6.9,0.5,Now
Golden Peach,100.0,30.0,0.5,7.4,0.5,Now
Climate Just Ice Now,100.0,239.0,11.0,34.0,1.7,Now
Now Mints,100.0,243.0,0.3,97.0,0.5,Now
Gourmet Honig Gurken,100.0,60.0,0.1,13.8,0.4,Nowka
Nordischer Gurkensalat ,100.0,74.0,0.1,16.7,0.3,Nowka
Bohnen Mix,100.0,41.0,0.1,9.0,0.8,Nowka
Paprika Geröstet,100.0,26.0,0.2,4.4,0.9,Nowka
Gourmet Antipasti,100.0,30.0,1.3,3.3,0.9,Nowka
Kinder Gurken,100.0,35.0,0.1,8.0,0.3,Nowka
EAA,100.0,301.0,1.2,1.2,72.0,NP Nutrition
Cluster Dextrin,100.0,400.0,0.0,100.0,0.0,NP Nutrition
Weight Gainer,100.0,382.0,1.4,77.1,15.7,NP Nutrition
Protein Pudding Vanille,100.0,376.0,4.0,9.6,65.0,NP Nutrition
Protein Breakfast,100.0,366.0,6.2,34.0,45.0,NP Nutrition
Sports Nutrition Liquid Gel,1 Portion ,113.0,0.0,28.1,0.0,NP Nutrition
Sports Nutrition,2 gestr. Dosierlöffel ,150.0,0.0,34.7,0.0,NP Nutrition
Natural Protein Shake Cacao Cinnamon,100.0,368.0,4.8,20.5,55.0,Nu+pro
Protein Shake Banana,100.0,360.0,3.2,25.7,52.7,Nu+pro
Banana,100.0,360.0,3.2,25.7,52.7,Nu+pro
Protein Shake Kakao Zimt,100.0,349.0,4.8,23.9,54.0,Nu+pro
Natural Protein Shake Vanilla ,1 Portion ,141.0,1.3,9.0,21.8,Nu+pro
Natural Protein Shake Vanille ,100.0,352.0,3.2,22.6,54.5,Nu+pro
The Natural Protein Shake Vanilla,100.0,360.0,6.1,22.0,50.0,Nu+pro
Natural Protein Shake,100.0,352.0,3.2,22.6,54.5,Nu+pro
Natural Protein Shake Berry Blend,100.0,359.0,3.6,21.8,53.5,Nu+pro
Protein Shake Vanilla,100.0,352.0,3.2,22.6,54.5,Nu+pro
Natural Protein Shake Vanilla,100.0,352.0,3.2,22.6,54.5,Nu+pro
Natural Protein Shake Banana,100.0,360.0,3.2,25.7,52.7,Nu+pro
Protein Shake Maracuja,100.0,349.0,2.5,27.8,50.1,Nu+pro
Hy-pro High Protein Bar Deluxe Chocolate Nut-Crunch,100.0,421.0,15.0,43.0,28.0,Nu+pro
Hy-pro High Protein Bar Chocolate Cranberry Pie ,100.0,362.0,14.0,25.0,30.0,Nu+pro
Pro 40% Protein Bar Vanille-Mandel-Crisp,1 riegel ,196.0,8.0,14.0,20.0,Nu+pro
Hy-pro High Protein Bar Banana Bread,100.0,316.0,10.0,22.0,30.0,Nu+pro
No Whey pro Rocka Beach Caramel Milkshake,100.0,403.0,3.8,8.2,82.0,Nu+pro
No Whey Bar pro Caramel Choco Fudge,1 Portion ,188.0,6.6,10.0,18.0,Nu+pro
Pro 40% Protein Bar Schokolade-Crisp,1 Riegel ,178.0,6.7,11.1,20.0,Nu+pro
Energy Cake 500 pro - Weisse Schokolade,1 Kuchen ,549.0,22.0,82.8,8.3,Nu+pro
Pro 4-C Protein Shake Schoko,100.0,362.0,2.7,9.8,74.0,Nu+pro
Premium pro Protein Chocolate Cookie Wafer,100.0,374.0,3.6,5.9,78.0,Nu+pro
Pro 20 Vanille Pudding High Protein,100.0,78.0,1.4,6.3,10.0,Nu+pro
Energy Cake 500 pro - Kirsch-Kokos,1 Kuchen ,544.0,23.2,79.2,7.5,Nu+pro
Hy-pro Deluxe White Chocolate Crunch,100.0,363.0,12.0,31.0,29.0,Nu+pro
Pro 40% Protein Bar Himbeere-Cranberry,1 Riegel ,166.0,4.8,11.3,20.0,Nu+pro
Energy Cake 500 pro - Schokolade-Orange,100.0,399.0,18.9,46.9,6.3,Nu+pro
Energy Cake 500 pro - Zitrone/Mohn,100.0,398.0,13.3,61.1,6.2,Nu+pro
Elite pro Complex - Lemon-Lime Cheesecake ,100.0,358.0,2.0,2.0,83.0,Nu+pro
Active pro 80 Himbeer-Joghurt,1 Portion ,91.0,0.2,2.3,20.0,Nu+pro
Energy Cake 500 pro - Cranberry,100.0,410.0,15.8,56.8,7.0,Nu+pro
Active pro 80 Espresso Macchiato,100.0,358.0,0.87,9.7,80.0,Nu+pro
Energy Cake 500 pro Früchte,100.0,411.0,15.6,58.0,6.4,Nu+pro
Energy Cake 500 pro - Cappuccino,100.0,458.0,20.4,60.5,5.5,Nu+pro
Active pro 80 Heidelbeer-Joghurt ,100.0,366.0,0.9,11.0,80.0,Nu+pro
Hy-pro Deluxe Peach-Yoghurt,100.0,353.0,1.0,5.8,79.6,Nu+pro
Premium pro Protein French Vanilla,100.0,365.0,1.4,11.3,76.8,Nu+pro
Energy Cake 500 pro - Himbeer,1 Kuchen ,535.0,21.0,81.0,8.9,Nu+pro
Energy Cake 500 pro Joghurt,1 Kuchen ,569.0,24.8,79.7,10.0,Nu+pro
Energy Cake 500 pro - Banane,100.0,440.0,20.7,60.9,6.0,Nu+pro
Crisp-Pro Bar Vanilla-Caramel,1 Riegel ,210.0,8.3,19.0,16.0,Nu+pro
Pro Whey Protein Shake Vanille,100.0,389.0,5.9,6.5,78.0,Nu+pro
Active pro 80 Mirabelle-Mascarpone,100.0,362.0,1.1,10.3,80.0,Nu+pro
Hy-pro 85 Raspberry-Quark,100.0,354.0,1.1,1.5,84.1,Nu+pro
Hy-pro Deluxe Strawberry Yoghurt,100.0,357.0,11.0,32.0,28.0,Nu+pro
Hy-pro Deluxe Himbeer-Joghurt,100.0,349.0,1.1,3.1,80.6,Nu+pro
No Whey Pro Chocolate Drink,1 Portion ,120.0,1.2,2.5,24.0,Nu+pro
Plant Pocket pro Cacao Nibs,1 Riegel ,168.0,7.6,12.0,8.8,Nu+pro
Pro 40% Protein Bar Stracciatella,100.0,332.0,9.5,20.0,40.0,Nu+pro
Pro 80 Protein Shake Stracciatella,1 Messlöffel + 250ml Wasser  ,95.0,1.1,1.7,20.0,Nu+pro
Elite Pro Complex - Milky Chocolate,100.0,355.0,3.0,2.0,80.0,Nu+pro
Fusion pro Cookies & Ice Cream,1 Portion ,119.0,2.0,3.0,22.0,Nu+pro
Hy-pro Deluxe Strawberry-Banana,100.0,348.0,1.2,7.3,75.8,Nu+pro
Hy-pro 85 Weiße Schokolade ,100.0,356.0,1.4,2.0,83.6,Nu+pro
Hy-pro 85 White-Chocolate ,100.0,357.0,1.4,2.1,83.7,Nu+pro
Energy Cake 500 pro - Toffee,100.0,444.0,18.4,62.9,5.7,Nu+pro
Hy-pro 85 Lemon-Quark,100.0,353.0,1.1,1.1,84.4,Nu+pro
Hy-pro 85 Cinnamon-Oatmeal,100.0,348.0,1.4,3.4,80.3,Nu+pro
Energy Cake 500 pro - Mandel,100.0,436.0,17.6,60.9,5.5,Nu+pro
Real pro Low Carb - Peanut,1 Riegel ,172.0,4.9,16.0,21.0,Nu+pro
Pro Whey Protein Isolate Orange,100.0,361.0,1.1,3.4,79.0,Nu+pro
Energy Cake 500 pro Joghurt,100.0,478.0,22.5,60.4,6.2,Nu+pro
Pro Whey Protein Shake Erdbeere,100.0,389.0,5.8,7.5,76.0,Nu+pro
Active pro 80 Citrus-Quark,100.0,366.0,0.82,9.3,80.0,Nu+pro
Premium pro Protein Banane-Kirsch,100.0,368.0,1.5,12.3,75.3,Nu+pro
Hy-pro Deluxe Coconut-Pineapple,100.0,343.0,2.1,0.8,80.0,Nu+pro
Hy-pro Deluxe Cookies & Cream ,100.0,370.0,3.0,15.0,70.4,Nu+pro
No Whey pro Salted Caramel,100.0,403.0,3.8,8.2,82.0,Nu+pro
100% Whey Hydro Isolate Pro,100.0,381.0,1.9,10.0,81.0,Nu+pro
Pro-Plex Erdbeer-Joghurt,1 Riegel ,127.0,3.9,12.3,9.8,Nu+pro
Hy-pro 85 Banane,100.0,355.0,1.1,1.5,84.4,Nu+pro
Active pro 80 Cocos,1 Portion ,92.0,0.4,2.2,20.0,Nu+pro
Active pro 80 Schoko,1 Portion ,90.0,0.4,1.2,20.0,Nu+pro
Elite Pro Complex - Natural,100.0,367.0,2.5,1.0,86.0,Nu+pro
Pro Protein Drink Vanille,100.0,58.0,0.2,4.0,10.0,Nu+pro
Elite Pro Complex - Hazelnut,1 Portion ,114.0,1.0,1.5,24.0,Nu+pro
Hy-pro Cherry-Quark,100.0,353.0,1.1,1.0,84.4,Nu+pro
Premium pro Protein Brombeer,100.0,385.0,3.6,8.4,76.3,Nu+pro
Active pro 80 Vanille,100.0,364.0,0.98,9.7,80.0,Nu+pro
Eiweiß pro To Go ,1 Riegel ,125.0,3.7,8.2,18.0,Nu+pro
Active pro 80 Popcorn,100.0,363.0,0.69,13.0,80.0,Nu+pro
Hy-pro Double Chocolate ,100.0,323.0,11.0,22.0,30.0,Nu+pro
Elite Pro Complex - Natural,1 Portion ,108.0,0.8,0.3,26.0,Nu+pro
Soy-pro Isolate Vanilla,100.0,356.0,2.0,4.5,84.0,Nu+pro
Slim Queen pro Butterkeks,100.0,404.0,11.0,37.0,37.0,Nu+pro
Hy-pro Deluxe Butterkeks,100.0,364.0,4.1,10.6,70.6,Nu+pro
Soy-pro Isolate Chocolate,100.0,365.0,3.0,2.5,82.0,Nu+pro
Whey Protein Pro Kaffee,100.0,352.0,0.9,2.5,82.8,Nu+pro
Elite Pro Complex Banana,100.0,354.0,2.0,2.0,82.0,Nu+pro
Premium pro Protein Coconut,100.0,383.0,4.5,3.5,82.0,Nu+pro
No Whey Pro Pure,100.0,410.0,4.4,5.1,86.0,Nu+pro
Elite pro Complex Hazelnut,100.0,354.0,2.0,3.0,81.0,Nu+pro
Active pro 80 Stracciatella,1 Portion ,94.0,1.0,1.7,20.0,Nu+pro
Hy-pro 85 Kokos,100.0,381.0,5.9,1.8,79.7,Nu+pro
Pro 40% Protein Bar,1 Riegel ,184.0,6.7,12.0,20.0,Nu+pro
Hy-pro 85 Vanille,100.0,352.0,1.1,1.1,84.1,Nu+pro
Pro Whey Protein Shake,100.0,385.0,6.7,7.5,73.0,Nu+pro
Big pro Erdbeer-Cream,100.0,382.0,2.3,3.6,85.0,Nu+pro
Active pro 80 Erdbeer,100.0,365.0,0.83,9.3,80.0,Nu+pro
Whey pro White Chocolate,100.0,392.0,7.0,9.8,73.4,Nu+pro
Pro Whey Isolate Drink,1 Flasche  ,122.0,0.1,0.1,30.0,Nu+pro
Active pro 80 Sauerkirsch,100.0,362.0,0.9,8.0,80.0,Nu+pro
Pro Protein Drink Schokolade ,100.0,63.0,0.4,4.8,10.0,Nu+pro
Active pro 80 Cocos,100.0,369.0,1.7,9.2,80.0,Nu+pro
Elite Pro Complex Protein,100.0,369.0,2.7,5.9,77.0,Nu+pro
Elite Pro Complex - Strawberry ,100.0,354.0,2.0,2.0,82.0,Nu+pro
Bäckerkrönung pro Vital Schnitte ,100.0,254.0,5.8,39.1,8.3,Nu+pro
Elite pro Complex - Butterkeks,100.0,365.0,2.5,2.5,83.0,Nu+pro
Sugar Free Choco Pro,100.0,514.0,38.9,25.5,19.3,Nu+pro
Premium pro Protein Shake ,100.0,95.0,0.2,4.0,10.0,Nu+pro
Elite Pro Complex - Vanilla,100.0,358.0,2.0,2.0,83.0,Nu+pro
Pro 80 Himbeer-Jogurt,1 Portion ,91.0,0.2,2.3,20.0,Nu+pro
Active pro 80 Banane,1 Portion ,92.0,0.2,2.6,20.0,Nu+pro
Super Hi Pro 128,100.0,363.0,2.8,4.7,80.0,Nu+pro
Premium pro Protein Cocos,100.0,399.0,5.9,8.4,75.3,Nu+pro
Elite Pro Complex - Chocolate,100.0,355.0,3.0,2.0,80.0,Nu+pro
Active pro 80 Pistazie,100.0,368.0,0.88,11.0,80.0,Nu+pro
Matrix pro 32 Coconut,1 Riegel ,270.0,9.0,22.0,27.0,Nu+pro
Pro+ Fettarmer Joghurt Vanille,100.0,92.0,1.4,15.0,4.1,Nu+pro
Premium pro Protein Pistazie ,100.0,367.0,3.6,8.9,74.3,Nu+pro
Pro+ Fettarmer Joghurt Pur,100.0,64.0,1.8,6.1,5.1,Nu+pro
Active pro 80 Chocolate,100.0,362.0,1.8,5.0,80.0,Nu+pro
Pro Shake Belgian Chocolate ,100.0,58.0,0.2,4.0,10.0,Nu+pro
Hy-pro 55 Coconut,1 Riegel  ,197.0,7.2,13.0,20.0,Nu+pro
Pocket pro Double Chocolate,1 Portion ,164.0,6.0,17.0,10.0,Nu+pro
HY-pro Cinnamon Oatmeal ,100.0,347.0,1.3,3.3,80.2,Nu+pro
Hy-pro Chocolate Nut,100.0,353.0,1.4,2.1,82.0,Nu+pro
Soy-pro Isolate Hazelnut,100.0,356.0,2.3,3.7,80.0,Nu+pro
Pro Zero Double Layer,100.0,368.0,16.0,23.5,30.0,Nu+pro
Pro Bar Cookie Dough,1 Portion ,280.0,8.0,33.0,20.0,Nu+pro
Pro Series Protein Complex,100.0,361.0,2.7,3.7,77.0,Nu+pro
Pro Milk 50,100.0,44.0,0.2,0.6,10.0,Nu+pro
Sana-pro Knusper,1 Portion ,157.0,6.4,7.9,16.0,Nu+pro
Pro Protein Drink,1 Flasche ,315.0,1.0,20.0,50.0,Nu+pro
Pro-Plex Coconut ,1 Riegel ,136.0,6.3,11.0,12.5,Nu+pro
Whey pro+ Vanille ,100.0,374.0,2.83,4.08,76.16,Nu+pro
Pro Bar Elite ,1 Riegel ,238.0,7.3,22.0,26.0,Nu+pro
Complex pro Kokos,100.0,393.0,4.5,4.8,82.4,Nu+pro
Bahia Bar Pro, (22,113.0,8.5,8.1,3.3,Nu+pro
Whey Protein Pro,100.0,363.0,0.8,2.5,86.6,Nu+pro
Pro 80 Milch,100.0,53.0,0.5,4.7,8.0,Nu+pro
Recovery pro Cola,1 Portion ,61.0,0.5,6.5,0.5,Nu+pro
Pro 35 Vanille,100.0,61.0,0.5,5.1,10.0,Nu+pro
Pro-Plex Tiramisu,1 Stück ,132.0,4.6,10.5,10.2,Nu+pro
Pro Big Crunch,1 Riegel ,296.0,14.0,27.0,23.0,Nu+pro
Pro Vital-Schnitte,1 Scheibe ,140.0,3.2,21.5,4.6,Nu+pro
Pro Whey Shake,100.0,394.0,5.4,26.0,59.0,Nu+pro
Pro Vital-Schnitte,1 Scheibe ,140.0,3.2,21.5,4.6,Nu+pro
Active pro 80,1 Löffel ,92.0,0.2,2.6,20.0,Nu+pro
Premium pro Protein,100.0,365.0,1.4,11.3,76.8,Nu+pro
Pro Body Brot ,100.0,285.0,16.8,6.0,21.4,Nu+pro
Hi Pro Pancakes ,100.0,418.0,12.0,38.0,41.0,Nu+pro
Recovery pro Tropical,1 Portion ,72.0,0.5,6.6,0.5,Nu+pro
Pro Aktiv Vegan,100.0,530.0,60.0,0.5,0.5,Nu+pro
Recovery pro Wassermelone,1 Portion ,64.0,0.5,6.5,0.5,Nu+pro
Crank Pump Pro,100.0,320.0,0.0,20.0,60.0,Nu+pro
Vegan Pro Complex,1 Serving ,110.0,1.7,0.9,22.0,Nu+pro
Recovery pro Waldfrucht,100.0,248.0,0.5,27.0,0.5,Nu+pro
Pro Vital-Schnitte,100.0,254.0,5.8,39.1,8.3,Nu+pro
Premium pro Protein,1 Portion mit 300 ml milch ,246.0,5.9,16.9,29.2,Nu+pro
Matrix pro 32,1 Riegel ,274.0,9.1,23.0,27.0,Nu+pro
Pro Vital-Schnitte,100.0,254.0,5.8,39.1,8.3,Nu+pro
Sana-pro Nephro,1 Riegel ,118.0,6.3,4.9,10.0,Nu+pro
Pro+ Joghurt Vanille,100.0,103.0,2.8,15.0,4.0,Nu+pro
Pro Aktiv Classic,100.0,403.0,45.0,0.5,0.5,Nu+pro
Pro Activ Vital,100.0,265.0,30.0,0.5,0.5,Nu+pro
Recovery pro Tropical,100.0,290.0,0.5,27.0,0.5,Nu+pro
Pro EAA Drink,1 Flasche ,55.0,0.0,0.5,0.0,Nu+pro
Lacti pro Multifrucht,1 Flasche ,79.0,1.1,13.4,3.9,Nu+pro
Pro Vit,1 Becher ,155.0,4.5,22.5,6.2,Nu+pro
Night pro,1 Portion ,90.0,1.0,2.0,20.0,Nu+pro
Pro Aktiv,100.0,45.0,1.5,5.0,2.5,Nu+pro
Xylit-pro,1 Dragee,2.0,0.0,0.9,0.0,Nu+pro
Egg pro ,100.0,316.0,0.0,6.0,73.0,Nu+pro
Pea pro,100.0,415.0,9.0,3.0,79.0,Nu+pro
Choco pro,100.0,385.0,10.5,40.0,33.0,Nu+pro
